,Category,Message,category,my_texed
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,1,i search the right word thank breather i promis wont take help for grant will fulfil promis you been wonder a bless all time
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,1,i have a date on sunday with will !
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0,xxxmobilemovieclub to use credit click wap link the next txt messag click > http //wap xxxmobilemovieclub.com n=qjkgighjjgcbl
16,ham,Oh k...i'm watching here:),1,oh k watch )
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,1,eh u rememb 2 spell name ye did he v naughti make i v wet
18,ham,Fine if thats the way u feel. Thats the way its gota b,1,fine way u feel that the way gota b
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",0,england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq
20,ham,Is that seriously how you spell his name?,1,is serious you spell name
21,ham,I‘m going to try for 2 months ha ha only joking,1,i go tri 2 month ha ha joke
22,ham,So ü pay first lar... Then when is da stock comin...,1,so ü pay first lar then is da stock comin
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,1,aft finish lunch i go str lor ard 3 smth lor u finish ur lunch alreadi
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,1,ffffffffff alright way i meet with sooner
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,1,just forc to eat slice i realli hungri tho thi suck mark get worri he know i sick i turn pizza lol
26,ham,Lol your always so convincing.,1,lol alway convinc
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,1,did catch bu are fri egg did make tea are eat mom left dinner do feel love
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",1,i back amp pack car i let know there room
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,1,ahhh work i vagu rememb what it feel like lol
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",1,wait still all clear you sure me sarcast that whi x want live us
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,1,yeah got at 2 wa v apologet n fallen wa actin like spoilt child and he got caught in till 2 but wo go not too badli cheer you
32,ham,K tell me anything about you.,1,k tell anyth you
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,1,for fear faint the all housework just quick a cuppa
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0,thank subscript rington uk your mobil be charg pleas confirm repli ye no if repli no will be charg
35,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,1,yup ok go home look the time i msg ü xuhui go learn 2nd may but lesson at 8am
36,ham,"Oops, I'll let you know when my roommate's done",1,oop i let know my roommat done
37,ham,I see the letter B on my car,1,i see letter b my car
38,ham,Anything lor... U decide...,1,anyth lor u decid
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,1,hello how and did saturday go i just text see you decid do anyth tomo not i tri invit or anyth
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,1,pl go ahead watt i want be sure do a great weekend abiola
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",1,did i forget tell i want i need i crave but of i love my sweet arabian steed mmmmmm yummi
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0,07732584351 rodger burn msg we tri call re repli our sm a free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow
43,ham,WHO ARE YOU SEEING?,1,who are you see
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,1,great i hope like man well endow i lt # gt inch
45,ham,No calls..messages..missed calls,1,no call messag miss call
46,ham,Didn't you get hep b immunisation in nigeria.,1,did get hep b immunis nigeria
47,ham,"Fair enough, anything going on?",1,fair enough anyth go
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",1,yeah hope tyler ca it i could mayb ask around bit
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,1,u know stubborn i i even want go the hospit i kept tell mark i a weak sucker hospit for weak sucker
50,ham,What you thinked about me. First time you saw me in class.,1,what think first time saw me in class
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",1,"a gram usual run like lt # gt , half eighth smarter though get almost whole second gram lt # gt"
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,1,k fyi x a ride earli tomorrow morn he crash our place tonight
53,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",1,wow i never realiz embarass accomod i thought you like sinc the best could you alway seem so happi the cave i sorri i and have to give i sorri offer i sorri your room wa so embarass .
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0,sm ac sptv the new jersey devil the detroit red wing play ice hockey correct incorrect end repli end sptv
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,1,do know mallika sherawat yesterday find now lt url & gt
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",0,congrat 1 year special cinema pass 2 your call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420-ip4-5w 150pm dont miss
57,ham,"Sorry, I'll call later in meeting.",1,sorri i call later meet
58,ham,Tell where you reached,1,tell you reach
59,ham,Yes..gauti and sehwag out of odi series.,1,ye gauti sehwag of odi seri
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,1,your gon na to pick a 1 burger yourself your way home i ca even move pain kill
61,ham,Ha ha ha good joke. Girls are situation seekers.,1,ha ha ha good joke girl situat seeker
62,ham,Its a part of checking IQ,1,it part check iq
63,ham,"Sorry my roommates took forever, it ok if I come by now?",1,sorri roommat took forev ok i come now
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,1,ok lar doubl check wif da hair dresser alreadi said wun cut v short he said cut i look nice
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",0,as valu custom i pleas advis that follow recent review your mob no are award a bonu prize call 09066364589
66,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",1,today song dedic day '' which song u dedic send to ur valuabl frnd first rpli me
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0,urgent ur award complimentari trip eurodisinc trav aco entry41 or to claim txt di 87121 * ( morefrmmob . shracomorsglsuplt 10 ls1 3aj
68,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",0,did hear the new divorc barbi ? it come all ken stuff
69,ham,I plane to give on this month end.,1,i plane give thi month end
70,ham,Wah lucky man... Then can save money... Hee...,1,wah lucki man then save money hee
71,ham,Finished class where are you.,1,finish class are
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,1,hi babe im at home now wan na do someth xx
73,ham,K..k:)where are you?how did you performed?,1,k k ) are how you perform
74,ham,U can call me now...,1,u call now
75,ham,I am waiting machan. Call me once you free.,1,i wait machan call onc free
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,1,that cool am gentleman will treat with digniti respect
77,ham,I like you peoples very much:) but am very shy pa.,1,i like peopl much ) am shi pa
78,ham,Does not operate after  &lt;#&gt;  or what,1,doe oper lt # gt what
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,1,it the here still look a job how much ta earn
80,ham,"Sorry, I'll call later",1,sorri i call later
81,ham,K. Did you call me just now ah?,1,did call just ah
82,ham,Ok i am on the way to home hi hi,1,ok am the way home hi hi
83,ham,You will be in the place of that man,1,you be the place that man
84,ham,Yup next stop.,1,yup next stop
85,ham,"I call you later, don't have network. If urgnt, sms me.",1,i call later have network if urgnt sm
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,1,for real u get yo i need 2 ticket one jacket i done i alreadi use my multi
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,1,ye i start send request make but pain came back i back bed doubl coin the factori i got ta cash all nitro
88,ham,I'm really not up to it still tonight babe,1,i realli up it still tonight babe
89,ham,"Ela kano.,il download, come wen ur free..",1,"ela il download , come wen ur free"
90,ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,1,yeah don stand close ll catch someth
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,1,sorri be pain is ok we meet anoth night i spent late afternoon casualti that mean have done of stuff42moro that includ my time sheet that sorri
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,1,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile !
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,0,pleas call custom servic repres 0800 169 6031 as have won guarante cash prize
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,1,havent plan buy later i check alreadi lido got 530 show e afternoon u finish work alreadi
95,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",0,your free rington wait be collect simpli text password mix 85069 verifi get usher britney fml po box 5249 mk17 92h 450ppw 16
96,ham,Watching telugu movie..wat abt u?,1,watch telugu movi wat abt u
97,ham,i see. When we finish we have loads of loans to pay,1,see when finish have load loan pay
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",1,hi wk ok hol ye bit a run forgot i hairdress appoint four need get home n shower beforehand doe caus prob for u ''
99,ham,I see a cup of coffee animation,1,i see cup coffe anim
100,ham,Please don't text me anymore. I have nothing else to say.,1,pleas text anymor i noth els say
101,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,1,okay name ur price long it legal wen i pick up y u ave x am xx
102,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,1,i still look a car buy and not gone 4the drive test yet
103,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,1,as per request mell oru minnaminungint nurungu vettam ' been set callertun all caller press 9 copi your friend callertun
104,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",1,wow you right i mean do i guess i gave boston men chang search locat nyc someth chang cuz on my signin page still say boston
105,ham,Umma my life and vava umma love you lot dear,1,umma life vava umma love lot dear
106,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,1,thank lot your wish birthday thank for make my birthday truli memor
107,ham,"Aight, I'll hit you up when I get some cash",1,aight i hit up i get cash
108,ham,How would my ip address test that considering my computer isn't a minecraft server,1,how would ip address test consid comput a minecraft server
109,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,1,i know grumpi old peopl my mom like better be lie then i alway one play joke
110,ham,Dont worry. I guess he's busy.,1,dont worri i guess busi
111,ham,What is the plural of the noun research?,1,what the plural the noun research
112,ham,Going for dinner.msg you after.,1,go you
113,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,1,i ok wif co like 2 tri new thing but scare u dun like mah co u said too loud
114,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0,gent we tri contact last weekend draw show you a prize guarante call 09064012160 claim code k52 valid 12hr 150ppm
115,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",1,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha so anythin special happen
116,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",1,as i enter cabin pa said `` happi boss ! i felt special she askd 4 lunch after lunch invit to apart we went .
117,spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),0,you a winner u been special select 2 receiv a 4 holiday flight inc speak a live oper 2 claim ( )
118,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,1,goodo ye must speak friday egg-potato ratio tortilla need
119,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,1,hmm uncl inform that pay school directli so pl buy food
120,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0,privat your 2004 account statement 07742676969 show 786 unredeem bonu point to claim call 08719180248 identifi code 45239 expir
121,spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0,urgent your mobil no award bonu caller prize thi our final tri contact u call landlin 09064019788 box42wr29c 150ppm
122,ham,here is my new address -apples&pairs&all that malarky,1,is new address pair & that malarki
123,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0,today voda number end 7548 select receiv 350 award if have match pleas call 08712300220 quot claim code 4041 standard rate app
124,ham,I am going to sao mu today. Will be done only at 12,1,i go sao mu today will done at 12
125,ham,Ü predict wat time ü'll finish buying?,1,ü predict wat time ü finish buy
126,ham,"Good stuff, will do.",1,good stuff do
127,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",1,just know yetund sent money yet i sent a text to bother send so over dont to involv anyth i have impos anyth you in the first place for that i apologis
128,ham,Are you there in room.,1,are there room
129,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,1,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
130,ham,K..k:)how much does it cost?,1,k k ) much it cost
131,ham,I'm home.,1,i home
132,ham,"Dear, will call Tmorrow.pls accomodate.",1,dear call accomod
133,ham,First answer my question.,1,first answer question
134,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,0,sunshin quiz wkli q win top soni dvd player u know countri algarv in txt ansr 82277 £1.50 sp tyron
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 31p.msg 150p
136,ham,I only haf msn. It's yijue@hotmail.com,1,i haf msn it yiju hotmail.com
137,ham,He is there. You call and meet him,1,he there you call meet
138,ham,No no. I will check all rooms befor activities,1,no i check room befor activ
139,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0,you rcv more msg the chat svc for free hardcor servic text go 69988 if u get noth u must age verifi yr network tri
140,ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,1,got c i lazi type i forgot ü lect i saw pouch like v nice
141,ham,"K, text me when you're on the way",1,k text when on way
142,ham,"Sir, Waiting for your mail.",1,sir wait your mail
143,ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",1,a swt thought `` nver get tire do littl thing 4 lovabl person '' coz somtim littl thing occupi biggest part their heart gud ni8
144,ham,I know you are. Can you pls open the back?,1,i know are can pl open back
145,ham,Yes see ya not on the dot,1,ye see ya on dot
146,ham,Whats the staff name who is taking class for us?,1,what staff name is take class us
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0,freemsg whi you repli my text i randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end
148,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,1,call check life begin qatar pl pray hard
149,ham,K..i deleted my contact that why?,1,k delet contact whi
150,ham,Sindu got job in birla soft ..,1,sindu got job birla soft
151,ham,The wine is flowing and i'm i have nevering..,1,the wine flow i have never
152,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,1,yup thk cine better co need 2 go 2 plaza mah
153,ham,Ok... Ur typical reply...,1,ok ur typic repli
154,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,1,as per request mell oru minnaminungint nurungu vettam ' been set callertun all caller press 9 copi your friend callertun
155,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",1,you everywher dirt floor the window even shirt and sometim open mouth that come flow i dream world without then half my chore are out a time joy me lot tv show see but guess like thing just must exist like rain hail mist when my time is done and i becom one
156,ham,Aaooooright are you at work?,1,aaooooright you work
157,ham,I'm leaving my house now...,1,i leav hous
158,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",1,hello love what did get that interview today are happi are be good boy do you think are you miss me
159,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0,custom servic annonc you a new year deliveri wait you pleas call 07046744435 to arrang deliveri
160,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0,you a winner u been special select 2 receiv cash a 4 holiday flight inc speak a live oper 2 claim 0871277810810
161,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,1,keep safe me i need i miss alreadi and i envi everyon see in real life
162,ham,New car and house for my parents.:)i have only new job in hand:),1,new car hous my parent have new job hand : )
163,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,1,i in love you i excit day spend you you make so happi
164,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0,stop bootydeli 32/f invit friend repli see her www.sms.ac/u/bootydeli stop send stop frnd to 62468
165,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0,bangbab ur order way u should receiv servic msg 2 download ur content if u not goto wap bangb tv on ur mobil menu
166,ham,I place all ur points on e cultures module already.,1,i place ur point e cultur modul alreadi
167,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,0,urgent we tri contact last weekend draw show you won prize guarante call 09061701939 claim code s89 valid 12hr
168,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",1,hi frnd is best way avoid missunderstd wit belov one ?
169,ham,Great escape. I fancy the bridge but needs her lager. See you tomo,1,great escap i fanci bridg need lager see tomo
170,ham,Yes :)it completely in out of form:)clark also utter waste.,1,ye ) complet out form ) clark also utter wast
171,ham,"Sir, I need AXIS BANK account no and bank address.",1,sir i need axi bank account and bank address
172,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",1,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
173,ham,What time you coming down later?,1,what time come later
174,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",1,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin m
175,ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",1,well gon na finish bath have good fine night
176,ham,Let me know when you've got the money so carlos can make the call,1,let know you got money carlo make call
177,ham,U still going to the mall?,1,u still go the mall
178,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",1,"turn my friend stay the whole show wo back til lt # gt , feel free go ahead smoke & lt # & gt worth"
179,ham,Text her. If she doesnt reply let me know so i can have her log in,1,text if doesnt repli let know i have log
180,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,1,hi you spoke maneesha we like know you satisfi the experi repli toll free ye no
181,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,1,you lift hope the offer money i in need especi the end the month approach it hurt studi anyway a gr8 weekend
182,ham,Lol no. U can trust me.,1,lol u trust
183,ham,ok. I am a gentleman and will treat you with dignity and respect.,1,ok i a gentleman will treat with digniti respect
184,ham,"He will, you guys close?",1,he you guy close
185,ham,Going on nothing great.bye,1,go noth
186,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,1,hello handsom are find job not lazi work toward get back net mummi where boytoy doe miss
187,ham,"Haha awesome, be there in a minute",1,haha awesom there a minut
188,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,0,pleas call custom servic repres freephon 0808 145 4742 as have won guarante cash prize
189,ham,Have you got Xmas radio times. If not i will get it now,1,have got xma radio time if i get now
190,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,1,i ju reach home i go bath first but si use net tell u she finish k
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,0,are uniqu enough find from 30th august www.areyouunique.co.uk
192,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,1,i sorri i join leagu peopl dont keep touch you mean great deal me you been friend all time even great person cost do a great
193,ham,Hi :)finally i completed the course:),1,hi ) final complet cours )
194,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,1,it stop itself i howev suggest stay someon will abl give or everi stool
195,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,1,how hope settl for new school year just wishin you a gr8 day
196,ham,Gud mrng dear hav a nice day,1,gud mrng dear hav nice day
197,ham,Did u got that persons story,1,did u got person stori
198,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,1,your hamster dead hey tmr meet at 1pm orchard mrt
199,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,1,hi kate is even i hope see tomorrow a bit i to bloodi babyjontet txt back u can : xxx
200,ham,"Found it, ENC  &lt;#&gt; , where you at?",1,"found enc lt # gt , you"
201,ham,I sent you  &lt;#&gt;  bucks,1,i sent lt # gt buck
202,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,1,hello darlin ive finish colleg so txt when u finish u love kate xxx
203,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,1,your account been refil success inr lt decim gt . your keralacircl prepaid account balanc rs lt decim gt . your transact id kr lt # gt .
204,ham,Goodmorning sleeping ga.,1,goodmorn sleep ga
205,ham,U call me alter at 11 ok.,1,u call alter 11 ok
206,ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,1,ü say like dat dun buy ericsson oso not oredi lar
207,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",1,as i enter cabin pa said `` happi boss ! i felt special she askd 4 lunch after lunch invit to apart we went .
208,ham,"Aight yo, dats straight dogg",1,aight yo dat straight dogg
209,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,1,you pleas give us connect today befor lt decim gt refund bill
210,ham,Both :) i shoot big loads so get ready!,1,both ) shoot big load get readi
211,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",1,what bruv hope had great break do a reward semest
